Time1,Brightness1,Time5,Brightness5,Time10,Brightness10
11,562,11,189,11,94
18,549,18,299,18,150
24,562,24,411,24,205
31,611,31,533,31,266
37,587,37,574,37,325
45,559,45,573,45,381
51,595,51,583,51,440
58,622,58,594,58,502
64,588,65,589,65,561
71,571,71,588,71,580
78,619,78,601,78,586
84,618,84,603,84,592
92,586,92,596,92,595
98,601,98,601,98,595
105,636,105,613,105,600
111,611,111,608,111,604
118,581,118,606,118,604
124,629,124,617,124,605
132,633,132,619,132,609
138,596,139,609,139,610
145,622,145,616,145,611
152,650,152,623,152,613
158,614,158,615,158,615
165,611,165,617,165,617
172,644,173,629,173,619
179,632,179,624,179,619
185,596,186,622,186,622
192,640,192,634,192,623
199,652,199,632,199,624
207,613,206,633,205,627
217,655,217,637,216,628
226,614,226,638,225,628
236,647,235,637,234,630
245,639,244,634,243,633
254,623,253,634,252,628
264,653,263,634,262,633
273,608,272,636,271,634
282,659,282,635,281,632
291,633,291,637,290,634
301,632,301,636,300,634
311,649,310,634,309,635
320,609,319,636,318,634
329,660,328,635,327,636
338,624,337,636,336,635
348,637,348,635,347,635
357,641,357,631,356,635
366,611,366,632,365,633
376,652,375,630,374,634
386,606,385,630,384,632
395,638,394,628,393,632
404,627,403,628,402,631
413,610,413,627,412,627
422,641,422,623,421,627
432,586,432,622,431,624
442,636,441,619,440,624
451,606,450,619,449,622
460,606,459,616,458,619
470,626,468,611,467,618
479,580,479,610,478,614
488,631,488,605,487,613
497,580,497,603,496,610
507,599,506,600,505,609
517,605,516,598,515,607
526,571,525,596,524,601
535,620,534,590,533,600
544,548,544,588,543,595
553,589,553,584,552,594
563,577,563,582,562,591
573,561,572,580,571,586
582,600,581,572,580,584
591,538,590,569,589,578
601,575,600,563,599,576
610,540,610,561,609,572
619,548,619,559,618,570
628,575,628,556,627,567
638,526,637,554,636,560
648,563,647,547,646,557
657,508,656,545,655,552
666,537,665,542,664,550
675,546,675,540,674,547
685,515,685,538,684,542
694,551,694,530,693,540
704,498,703,528,702,534
713,527,712,523,711,532
722,515,721,521,720,530
732,508,731,520,730,528
741,547,741,518,740,526
750,493,750,517,749,520
759,522,759,512,758,518
770,480,769,511,768,517
779,505,778,511,777,516
788,540,787,511,786,515
797,493,796,511,795,510
806,525,806,506,804,510
816,482,816,507,815,508
825,510,825,508,824,508
835,523,834,509,833,509
844,497,843,511,842,509
854,535,852,507,851,510
863,489,862,509,861,507
872,521,871,509,870,508
881,513,881,511,880,510
890,511,890,514,889,512
901,556,900,517,899,514
910,503,909,520,908,512
919,541,918,520,917,515
928,507,927,523,926,517
937,531,936,527,935,520
947,565,947,530,946,524
956,522,956,535,955,523
965,565,965,535,964,527
975,514,974,539,973,529
985,552,984,544,983,533
994,569,993,548,992,538
1003,542,1002,553,1001,540
1013,538,1013,559,1012,542
1024,533,1024,563,1022,544
1035,558,1034,557,1033,552
1045,584,1044,561,1043,557
1055,603,1054,555,1053,567
1065,618,1064,555,1063,571
1076,607,1076,562,1075,573
1086,598,1086,573,1085,577
1096,591,1096,588,1095,576
1107,582,1106,604,1105,579
1118,574,1117,612,1116,584
1128,574,1127,613,1126,587
1138,598,1137,610,1136,590
1148,616,1148,601,1147,592
1159,629,1159,594,1158,596
1170,641,1169,593,1168,600
1180,647,1179,597,1178,604
1190,634,1189,606,1188,607
1201,621,1200,618,1199,610
1211,611,1211,632,1210,614
1221,601,1221,639,1220,617
1231,604,1231,641,1230,619
1243,622,1242,637,1241,621
1253,636,1252,629,1251,622
1263,645,1262,620,1261,624
1273,653,1273,617,1272,626
1284,660,1284,618,1283,628
1294,653,1294,624,1293,630
1305,638,1304,634,1303,632
1315,625,1314,644,1313,633
1326,612,1325,650,1324,634
1336,611,1335,651,1334,634
1346,627,1346,646,1345,635
1356,638,1356,638,1355,635
1368,646,1367,628,1366,635
1378,653,1377,621,1376,635
1388,658,1387,620,1386,635
1398,653,1397,623,1396,635
1409,635,1409,630,1408,635
1419,621,1419,639,1418,634
1429,607,1429,645,1428,632
1440,594,1439,644,1438,631
1451,609,1449,639,1448,630
1461,621,1460,630,1459,629
1471,630,1470,617,1469,627
1481,638,1481,607,1480,626
1491,643,1491,602,1490,624
