Time,Brightness
10,505
16,563
21,604
26,570
32,561
37,599
44,607
49,556
54,586
60,626
65,600
71,572
76,609
82,624
88,586
93,593
99,635
104,617
110,577
115,609
121,642
129,589
138,632
147,622
156,612
165,643
175,594
185,652
194,625
203,628
212,644
222,607
231,657
240,622
250,642
260,643
269,617
278,655
287,615
296,650
306,637
316,624
325,651
334,601
344,656
353,626
362,627
371,643
381,602
391,652
400,609
409,627
418,628
428,600
437,641
446,583
456,624
465,610
475,595
484,626
493,570
502,616
512,582
522,587
531,605
540,561
549,607
559,544
568,576
577,580
587,550
596,595
606,528
615,563
624,547
633,538
643,579
653,517
662,551
671,507
680,527
690,553
699,507
708,541
718,491
728,518
737,525
746,501
755,536
764,488
774,516
784,500
793,502
802,540
812,490
821,521
830,480
839,507
849,539
859,497
868,534
877,489
886,520
896,532
905,511
915,555
924,504
933,541
943,531
952,530
961,577
970,521
980,566
990,533
999,554
1008,583
1018,600
1029,591
1039,584
1050,576
1060,568
1071,562
1081,556
1091,572
1101,596
1113,613
1123,627
1133,638
1143,624
1154,613
1164,604
1174,595
1185,586
1196,606
1206,624
1216,636
1226,646
1236,654
1248,651
1258,638
1268,625
1278,613
1289,603
1299,622
1309,633
1320,643
1331,651
1341,657
1351,661
1361,644
1372,630
1383,616
1393,602
1403,613
1414,626
1424,634
1434,642
1445,648
1456,650
1466,631
1476,614
1486,601
1497,586
1507,579
1518,595
1528,607
1539,619
1549,626
1559,620
1569,602
1581,586
1591,571
1601,557
1611,544
1622,543
1632,565
1642,580
1653,593
1664,578
1674,562
1684,546
1694,534
1704,522
1716,512
1726,502
1736,513
1746,542
1757,557
1767,540
1777,527
1788,516
1799,507
1809,498
1819,490
1829,484
1840,482
1851,519
1861,543
1871,531
1882,522
1892,513
1902,507
1913,502
1924,497
1934,492
1944,491
1954,529
1965,557
1975,558
1986,551
1996,544
2007,537
2017,532
2027,528
2037,523
2049,531
2059,563
2069,586
2079,604
2089,597
2100,588
2111,581
2121,573
2131,567
2142,560
2152,578
2162,601
2172,618
2184,631
2194,641
2204,629
2214,618
2225,606
2235,598
2246,589
2256,610
2267,626
2277,638
2287,647
2297,655
2308,654
2319,639
2329,627
2339,615
2350,604
2360,621
2370,634
2381,643
2392,651
2402,657
2412,660
2422,643
2433,628
2444,614
2454,602
2464,610
2475,622
2485,632
2495,641
2505,646
2516,646
2527,627
2537,611
2547,596
2557,583
2568,572
2579,591
2589,605
2599,614
2610,623
2620,614
2630,596
2640,579
2652,565
2662,552
2672,540
2682,535
2693,558
2703,576
2714,589
2724,572
2735,556
2745,542
2755,529
2765,517
2777,507
2787,498
2797,510
2807,537
2818,552
2828,538
2838,524
2849,513
2860,505
2870,496
2880,490
2890,484
2900,482
2912,520
2922,544
2932,532
2942,522
2953,515
2963,511
2973,504
2984,499
2995,496
3005,495
3015,533
3025,560
3036,564
3047,557
3057,549
3067,543
3078,538
3088,533
3098,528
3109,539
3120,569
3130,593
3140,609
3150,604
3161,594
3171,586
3182,578
3192,571
3203,564
3213,585
3223,606
3233,622
3245,634
3255,643
3265,633
3275,621
3286,610
3296,601
3306,593
3317,613
3328,628
3338,640
3348,649
3358,656
3368,655
3380,640
3390,628
3400,615
3410,604
3421,622
3431,634
3442,643
3452,651
3463,656
3473,659
3483,642
3493,626
3504,613
3515,599
3525,608
3535,620
3546,630
3556,638
3566,644
3577,643
3588,624
3598,607
3608,593
3618,580
3629,567
3639,585
3650,599
3660,610
3671,619
3681,609
3691,590
3701,575
3713,560
3723,546
3733,535
3743,527
3753,552
3764,572
3775,585
3785,566
3795,551
3806,536
3816,524
3826,513
3836,504
3848,495
3858,505
3868,533
3878,549
3889,533
3899,521
3910,511
3920,504
3931,496
3941,490
3951,485
3961,482
3972,519
3983,545
3993,535
4003,527
4014,519
4024,512
4034,508
4045,504
4056,500
4066,502
4076,540
