Time,sensor
1,461
2,373
3,295
4,432
5,547
6,638
7,712
8,771
9,819
10,857
11,889
12,785
13,633
14,506
15,404
16,321
17,256
18,203
19,162
20,192
21,348
22,476
23,578
24,663
25,730
26,785
27,830
28,866
29,699
30,558
31,446
32,354
33,281
34,224
35,178
36,142
37,246
38,392
39,509
40,607
41,684
42,749
43,800
44,841
45,801
46,642
47,513
48,409
49,325
50,259
51,205
52,164
53,128
54,302
55,436
56,547
57,636
58,709
59,768
60,816
61,854
62,741
63,592
64,474
65,376
66,299
67,238
68,189
69,150
70,199
71,354
72,478
73,581
74,664
75,732
76,786
77,831
78,854
79,683
80,547
81,436
82,347
83,276
84,219
85,175
86,139
87,258
88,401
89,518
90,613
91,690
92,752
93,804
94,844
95,788
96,630
97,505
98,401
99,319
100,253
101,202
102,160
103,149
104,314
105,446
106,555
107,643
108,714
109,772
110,819
111,857
112,728
113,582
114,464
115,369
116,294
117,234
118,186
119,148
120,213
121,365
122,488
123,588
124,670
125,737
126,790
127,834
128,836
129,671
130,536
131,428
132,340
133,270
134,215
135,171
136,136
137,270
138,412
139,526
140,620
141,696
142,758
143,807
144,847
145,774
146,619
147,495
148,394
149,313
150,249
151,198
152,157
153,164
154,325
155,455
156,562
157,649
158,719
159,776
160,823
161,860
162,715
163,571
164,457
165,363
166,288
167,229
168,182
169,145
170,226
171,376
172,495
173,595
174,676
175,741
176,794
177,837
178,822
179,659
180,528
181,420
182,334
183,265
184,211
185,168
186,133
187,283
188,422
189,534
190,626
191,701
192,762
193,811
194,850
195,761
196,609
197,486
198,388
199,307
200,244
201,195
202,154
203,178
204,337
205,464
206,570
207,656
208,725
209,780
210,826
211,863
212,703
213,562
214,448
215,357
216,284
217,225
218,180
219,143
220,239
221,386
222,505
223,603
224,682
225,745
226,798
227,840
228,808
229,648
230,518
231,413
232,328
233,261
234,207
235,165
236,128
237,296
238,432
239,543
240,633
241,706
242,766
243,814
244,853
245,747
246,598
247,478
248,380
249,302
250,240
251,190
252,152
253,192
254,348
255,475
256,577
257,662
258,730
259,784
260,829
261,865
262,689
263,553
264,440
265,350
266,278
