Time,Data
1,125
2,100
3,79
4,238
5,381
6,499
7,597
8,676
9,741
10,794
11,836
12,743
13,597
14,476
15,379
16,301
17,240
18,190
19,150
20,181
21,338
22,465
23,570
24,656
25,725
26,781
27,826
28,863
29,698
30,560
31,447
32,356
33,284
34,224
35,179
36,142
37,244
38,390
39,508
40,605
41,683
42,748
43,800
44,841
45,804
46,646
47,517
48,413
49,329
50,261
51,208
52,165
53,128
54,301
55,435
56,546
57,636
58,709
59,768
60,816
61,855
62,745
63,597
64,477
65,381
66,302
67,241
68,192
69,152
70,199
71,352
72,478
73,580
74,664
75,732
76,787
77,831
78,855
79,688
80,551
81,441
82,350
83,280
84,222
85,177
86,140
87,257
88,401
89,517
90,613
91,690
92,753
93,804
94,845
95,791
96,635
97,509
98,406
99,323
100,257
101,204
102,162
103,149
104,313
105,446
106,554
107,642
108,714
109,773
110,820
111,857
112,731
113,587
114,469
115,374
116,297
117,236
118,188
119,149
120,213
121,364
122,487
123,589
124,670
125,737
126,791
127,834
128,838
129,676
130,543
131,433
132,345
133,273
134,218
135,173
136,138
137,271
138,411
139,526
140,620
141,696
142,758
143,808
144,848
145,777
146,625
147,500
148,398
149,317
150,252
151,201
152,159
153,164
154,324
155,455
156,561
157,649
158,720
159,777
160,823
161,861
162,718
163,576
164,461
165,367
166,292
167,233
168,185
169,147
170,226
171,373
172,496
173,594
174,676
175,741
176,795
177,838
178,824
179,664
180,532
181,425
182,338
183,269
184,214
185,170
186,135
187,283
188,421
189,535
190,627
191,702
192,762
193,811
194,851
195,763
196,614
197,491
198,391
199,311
200,247
201,197
202,157
203,179
204,336
205,465
206,570
207,655
208,725
209,781
210,827
211,863
212,706
213,567
214,453
215,361
216,287
217,228
218,182
219,144
220,240
221,385
222,505
223,603
224,682
225,746
226,799
227,841
228,810
229,652
230,523
231,417
232,332
233,264
234,210
235,167
236,132
237,295
238,431
239,543
240,633
241,707
242,766
243,814
244,854
245,750
246,603
247,482
248,384
249,306
250,243
251,193
252,154
253,193
254,348
255,474
256,577
257,661
258,729
259,784
260,830
261,866
262,695
263,557
264,445
265,354
266,281
267,224
268,178
269,141
270,253
271,396
272,514
273,609
274,688
275,752
276,802
277,844
278,797
279,641
280,513
281,409
282,326
283,259
284,206
285,164
286,141
287,307
288,441
289,550
290,639
291,712
292,771
293,818
294,857
295,737
296,592
297,473
298,377
299,301
300,239
301,190
302,150
303,207
304,358
305,482
306,583
307,667
308,734
309,788
310,832
311,847
312,682
313,547
314,436
315,347
316,276
317,220
318,175
319,139
320,265
321,406
322,522
323,616
324,693
325,755
326,805
327,847
328,784
329,630
330,505
331,402
332,320
333,254
334,202
335,161
336,157
337,319
338,451
339,558
340,646
341,717
342,774
343,821
344,859
345,726
346,582
347,466
348,371
349,295
350,235
351,187
352,148
353,220
354,369
355,492
356,592
357,673
358,739
359,793
360,836
361,832
362,670
363,537
364,429
365,341
366,271
367,216
368,172
369,137
370,277
371,416
372,530
373,623
374,699
375,760
376,809
377,849
378,770
379,619
380,495
381,395
382,314
383,250
384,199
385,158
386,172
387,329
388,459
389,566
390,652
391,722
392,779
393,825
394,862
395,712
396,572
397,457
398,364
399,290
400,230
401,183
402,145
403,233
404,380
405,500
406,599
407,679
408,744
409,796
410,839
411,817
412,658
413,527
414,421
415,335
416,266
417,212
418,169
419,134
420,289
421,427
422,538
423,630
424,704
425,764
426,813
427,853
428,759
429,609
430,488
431,388
432,309
433,246
434,196
435,156
436,186
437,341
438,469
439,574
440,658
441,727
442,783
443,828
444,865
445,701
446,562
447,449
448,358
449,284
450,226
451,180
452,143
453,246
454,391
455,509
456,606
457,685
458,749
459,801
460,842
461,803
462,647
463,518
464,413
465,329
466,262
467,207
468,165
469,128
470,300
471,436
472,545
473,636
474,709
475,768
476,816
477,855
478,743
479,597
480,479
481,381
482,303