Time,Signal
1,440
2,356
3,282
4,421
5,537
6,631
7,706
8,767
9,815
10,855
11,886
12,786
13,631
14,505
15,403
16,320
17,255
18,202
19,161
20,192
21,349
22,475
23,579
24,664
25,732
26,787
27,832
28,867
29,700
30,559
31,445
32,354
33,282
34,223
35,178
36,141
37,245
38,392
39,512
40,608
41,686
42,751
43,802
44,843
45,804
46,644
47,514
48,409
49,326
50,258
51,205
52,164
53,128
54,302
55,438
56,548
57,638
58,711
59,770
60,818
61,856
62,743
63,594
64,474
65,377
66,299
67,238
68,189
69,151
70,199
71,354
72,480
73,582
74,666
75,733
76,789
77,833
78,855
79,685
80,548
81,437
82,347
83,276
84,219
85,174
86,138
87,257
88,402
89,520
90,615
91,692
92,755
93,806
94,847
95,790
96,633
97,505
98,402
99,320
100,253
101,201
102,160
103,148
104,314
105,448
106,556
107,644
108,716
109,774
110,821
111,859
112,729
113,583
114,465
115,370
116,293
117,233
118,185
119,148
120,213
121,365
122,490
123,591
124,672
125,738
126,792
127,836
128,837
129,673
130,539
131,429
132,341
133,271
134,215
135,171
136,136
137,271
138,413
139,528
140,622
141,698
142,759
143,809
144,849
145,775
146,622
147,496
148,394
149,313
150,249
151,197
152,157
153,164
154,325
155,457
156,564
157,651
158,721
159,778
160,824
161,862
162,716
163,573
164,457
165,363
166,289
167,229
168,182
169,145
170,227
171,375
172,498
173,597
174,678
175,743
176,796
177,839
178,824
179,661
180,528
181,420
182,334
183,265
184,211
185,167
186,134
187,284
188,423
189,536
190,628
191,703
192,763
193,812
194,852
195,763
196,611
197,487
198,388
199,308
200,245
201,194
202,155
203,179
204,337
205,466
206,571
207,657
208,726
209,782
210,828
211,864
212,704
213,562
214,449
215,357
216,283
217,225
218,179
219,142
220,239
221,386
222,507
223,604
224,683
225,748
226,800
227,842
228,809
229,650
230,519
231,413
232,328
233,261
234,207
235,164
236,130
237,296
238,433
239,544
240,635
241,708
242,768
243,816
244,855
245,748
246,600
247,478
248,380
249,302
250,240
251,191
252,152
253,193
254,349
255,475
256,579
257,662
258,731
259,786
260,830
261,866
262,693
263,553
264,440
265,349
266,277
267,221
268,176
269,140
270,253
271,397
272,515
273,611
274,689
275,752
276,803
277,844
278,795
279,638
280,510
281,405
282,322
283,256
284,203
285,161
286,140
287,308
288,442
289,552
290,641
291,714
292,772
