Time,Signal
1,0
2,0
3,0
4,1022
5,1022
6,1021
7,1021
8,1022
9,1022
10,1022
11,1022
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1021
21,1023
22,1022
23,1022
24,1021
25,1022
26,1021
27,1022
28,1022
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,1022
38,1021
39,1021
40,1022
41,1022
42,1022
43,1022
44,1022
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1021
55,1022
56,1022
57,1022
58,1022
59,1022
60,1022
61,1022
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1021
71,1023
72,1021
73,1022
74,1022
75,1022
76,1022
77,1022
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1022
88,1021
89,1022
90,1022
91,1022
92,1022
93,1022
94,1022
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1022
104,1022
105,1022
106,1023
107,1023
108,1022
109,1022
110,1022
111,1022
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1023
121,1022
122,1022
123,1022
124,1022
125,1022
126,1022
127,1021
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1023
138,1022
139,1021
140,1022
141,1022
142,1021
143,1021
144,1022
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1022
154,1022
155,1022
156,1022
157,1022
158,1022
159,1022
160,1022
161,1022
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1022
171,1022
172,1022
173,1022
174,1021
175,1023
176,1022
177,1022
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1022
188,1022
189,1022
190,1021
191,1021
192,1022
193,1022
194,1022
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1021
204,1022
205,1022
206,1022
207,1021
208,1023
209,1022
210,1022
211,1022
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,1021
221,1022
222,1022
223,1022
224,1022
225,1021
226,1022
227,1022
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1022
238,1022
239,1021
240,1022
241,1022
242,1022
243,1022
244,1022
245,0
246,0
247,0
248,0
