"Time, Voltage"
"0,521"
"100,521"
"200,521"
"301,520"
"401,520"
"501,521"
"602,520"
"702,520"
"802,521"
"903,520"
"1,003,520"
"1,103,521"
"1,205,520"
"1,305,520"
"1,405,520"
"1,506,520"
"1,606,520"
"1,707,520"
"1,807,520"
"1,907,520"
"2,008,521"
"2,109,520"
"2,209,521"
"2,310,520"
"2,410,520"
"2,510,521"
"2,611,520"
"2,711,520"
"2,811,520"
"2,912,520"
"3,013,520"
"3,113,520"
"3,214,521"
"3,314,521"
"3,415,520"
"3,515,520"
"3,615,520"
"3,716,520"
"3,816,520"
"3,917,520"
"4,018,520"
"4,118,520"
"4,218,520"
"4,319,521"
"4,419,520"
"4,519,520"
"4,620,520"
"4,720,521"
"4,822,520"
"4,922,521"
"5,022,520"
"5,123,520"
"5,223,520"
"5,323,520"
"5,424,521"
"5,524,520"
"5,624,520"
"5,726,521"
"5,826,520"
"5,926,520"
"6,027,520"
"6,127,520"
"6,227,520"
"6,328,521"
"6,428,521"
"6,529,520"
"6,630,520"
"6,730,520"
"6,831,520"
"6,931,520"
"7,031,520"
"7,132,520"
"7,232,520"
"7,332,520"
"7,433,520"
"7,534,520"
"7,634,521"
"7,735,520"
"7,835,520"
"7,936,521"
"8,036,520"
"8,136,520"
"8,237,520"
"8,337,520"
"8,438,520"
"8,539,520"
"8,639,521"
"8,739,521"
"8,840,520"
"8,940,521"
"9,040,521"
"9,141,520"
"9,241,520"
"9,342,521"
"9,443,521"
"9,543,521"
"9,644,520"
"9,744,521"
"9,844,520"
"9,945,520"
"10,045,520"
"10,146,521"
"10,247,520"
"10,347,521"
"10,447,520"
"10,548,520"
"10,648,520"
"10,748,520"
"10,850,521"
"10,950,521"
"11,051,520"
"11,151,520"
"11,251,520"
"11,352,520"
"11,453,520"
"11,553,521"
"11,654,520"
"11,754,521"
"11,854,521"
"11,955,521"
"12,055,521"
"12,156,521"
"12,257,521"
"12,357,521"
"12,457,520"
"12,558,520"
"12,658,521"
"12,760,520"
"12,860,520"
"12,960,520"
"13,061,520"
"13,161,520"
"13,261,521"
"13,362,521"
"13,463,520"
"13,563,521"
"13,664,520"
"13,764,521"
"13,864,521"
"13,965,520"
"14,066,521"
"14,167,521"
"14,267,520"
"14,367,520"
"14,468,520"
"14,568,520"
"14,668,520"
"14,770,520"
"14,870,521"
"14,970,521"
"15,071,521"
"15,171,521"
"15,271,521"
"15,373,521"
"15,473,521"
"15,574,521"
"15,674,520"
"15,774,521"
"15,875,521"
"15,975,520"
"16,076,521"
"16,177,521"
"16,277,521"
"16,377,521"
"16,478,521"
"16,578,520"
"16,679,520"
"16,780,521"
"16,880,521"
"16,980,521"
"17,081,521"
"17,181,521"
"17,282,521"
"17,383,521"
"17,483,521"
"17,584,521"
"17,684,521"
"17,784,521"
"17,885,522"
"17,986,522"
"18,086,522"
"18,187,522"
"18,287,522"
"18,387,523"
"18,488,523"
"18,588,523"
"18,690,523"
"18,790,523"
"18,890,523"
"18,991,523"
"19,091,523"
"19,191,524"
"19,293,524"
"19,393,524"
"19,493,524"
"19,594,524"
"19,694,525"
"19,794,525"
"19,895,525"
"19,996,525"
"20,097,526"
"20,197,526"
"20,297,526"
"20,398,526"
"20,498,526"
"20,599,526"
"20,700,526"
"20,800,527"
"20,900,527"
"21,001,527"
"21,101,527"
"21,201,527"
"21,303,527"
"21,403,527"
"21,504,527"
"21,604,528"
"21,704,528"
"21,805,528"
"21,906,528"
"22,006,529"
"22,107,529"
"22,207,529"
"22,307,530"
"22,408,530"
"22,509,530"
"22,609,530"
"22,710,530"
"22,810,531"
"22,910,531"
"23,011,531"
"23,111,531"
"23,213,532"
"23,313,532"
"23,413,532"
"23,514,532"
"23,614,533"
"23,714,533"
"23,816,533"
"23,916,533"
"24,016,533"
"24,117,534"
"24,217,534"
"24,317,534"
"24,418,534"
"24,519,534"
"24,620,535"
"24,720,535"
"24,820,535"
"24,921,536"
"25,021,537"
"25,122,537"
"25,223,537"
"25,323,538"
"25,423,539"
"25,524,538"
"25,624,539"
"25,725,540"
"25,826,540"
"25,926,540"
"26,027,541"
"26,127,541"
"26,227,542"
"26,328,543"
"26,429,542"
"26,529,543"
"26,630,544"
"26,730,544"
"26,830,544"
"26,931,544"
"27,032,545"
"27,132,545"
"27,233,545"
"27,333,545"
"27,433,546"
"27,534,546"
"27,634,548"
"27,736,548"
"27,836,549"
"27,936,550"
"28,037,550"
"28,137,551"
"28,237,551"
"28,339,552"
"28,439,553"
"28,539,553"
"28,640,554"
"28,740,555"
"28,840,556"
"28,941,556"
"29,042,556"
"29,143,557"
"29,243,557"
"29,343,557"
"29,444,557"
"29,544,558"
"29,645,558"
"29,746,558"
"29,846,559"
"29,946,559"
"30,047,559"
"30,147,560"
"30,248,560"
"30,349,560"
"30,449,561"
"30,550,561"
"30,650,561"
"30,750,562"
"30,851,563"
"30,952,563"
"31,052,563"
"31,153,564"
"31,253,564"
"31,353,564"
"31,454,565"
"31,555,566"
"31,655,566"
"31,756,567"
"31,856,567"
"31,956,567"
"32,057,568"
"32,158,568"
"32,259,569"
"32,359,569"
"32,459,569"
"32,560,570"
"32,660,570"
"32,760,570"
"32,862,570"
"32,962,570"
"33,062,570"
"33,163,571"
"33,263,571"
"33,363,571"
"33,465,572"
"33,565,572"
"33,666,573"
"33,766,573"
"33,866,573"
"33,967,574"
"34,067,574"
"34,168,574"
"34,269,575"
"34,369,575"
"34,469,575"
"34,570,576"
"34,670,576"
"34,771,576"
"34,872,577"
"34,972,577"
"35,073,577"
"35,173,578"
"35,273,578"
"35,374,578"
"35,475,578"
"35,575,578"
"35,676,579"
"35,776,580"
"35,876,579"
"35,977,580"
"36,078,579"
"36,178,580"
"36,279,580"
"36,379,581"
"36,480,582"
"36,580,582"
"36,681,581"
"36,782,582"
"36,882,582"
"36,982,582"
"37,083,582"
"37,183,583"
"37,283,582"
"37,385,582"
"37,485,582"
"37,585,582"
"37,686,582"
"37,786,582"
"37,886,582"
"37,988,582"
"38,088,582"
"38,189,581"
"38,289,581"
"38,389,580"
"38,490,580"
"38,591,579"
"38,691,579"
"38,792,578"
"38,892,577"
"38,992,576"
"39,093,575"
"39,193,575"
"39,294,573"
"39,395,573"
"39,495,572"
"39,596,572"
"39,696,571"
"39,796,570"
"39,898,570"
"39,998,570"
"40,098,569"
"40,199,568"
"40,299,567"
"40,399,567"
"40,500,567"
"40,601,566"
"40,701,565"
"40,802,565"
"40,902,565"
"41,003,564"
"41,103,564"
"41,204,563"
"41,305,563"
"41,405,562"
"41,505,562"
"41,606,562"
"41,706,561"
"41,806,561"
"41,908,561"
"42,008,560"
"42,108,560"
"42,209,560"
"42,309,559"
"42,409,559"
"42,511,559"
"42,611,558"
"42,712,558"
"42,812,558"
"42,912,557"
"43,013,557"
"43,114,557"
"43,214,557"
"43,315,556"
"43,415,556"
"43,515,556"
"43,616,555"
"43,716,555"
"43,817,555"
"43,918,554"
"44,018,554"
"44,119,554"
"44,219,553"
"44,319,553"
"44,421,553"
"44,521,553"
"44,621,553"
"44,722,553"
"44,822,552"
"44,922,552"
"45,023,552"
"45,124,551"
"45,224,552"
"45,325,551"
"45,425,551"
"45,526,551"
"45,626,550"
"45,727,550"
"45,828,550"
"45,928,550"
"46,028,550"
"46,129,550"
"46,229,549"
"46,330,549"
"46,431,549"
"46,531,549"
"46,631,548"
"46,732,548"
"46,832,548"
"46,932,548"
"47,034,548"
"47,134,548"
"47,235,547"
"47,335,548"
"47,435,547"
"47,536,547"
"47,637,547"
"47,737,547"
"47,838,547"
"47,938,546"
"48,038,546"
"48,139,546"
"48,239,546"
"48,340,546"
"48,441,546"
"48,541,545"
"48,642,545"
"48,742,545"
"48,842,545"
"48,944,545"
"49,044,545"
"49,144,544"
"49,245,544"
"49,345,544"
"49,445,544"
"49,547,544"
"49,647,544"
"49,747,544"
"49,848,544"
"49,948,544"
"50,049,544"
"50,149,544"
"50,250,544"
"50,351,543"
"50,451,543"
"50,551,543"
"50,652,544"
"50,752,543"
"50,853,543"
"50,954,542"
"51,054,542"
"51,154,542"
"51,255,542"
"51,355,542"
"51,456,542"
"51,557,542"
"51,657,542"
"51,758,542"
"51,858,542"
"51,958,542"
"52,059,541"
"52,160,541"
"52,260,541"
"52,361,541"
"52,461,541"
"52,561,541"
"52,662,541"
"52,763,541"
"52,864,540"
"52,964,540"
"53,064,540"
"53,165,540"
"53,265,540"
"53,365,540"
"53,467,539"
"53,567,539"
"53,667,539"
"53,768,539"
"53,868,539"
"53,968,539"
"54,070,539"
"54,170,539"
"54,270,539"
"54,371,538"
"54,471,538"
"54,572,538"
"54,672,538"
"54,773,538"
"54,874,538"
"54,974,538"
"55,074,537"
"55,175,537"
"55,275,537"
"55,376,537"
"55,477,537"
"55,577,538"
"55,677,538"
"55,778,537"
"55,878,537"
"55,980,537"
"56,080,537"
"56,180,537"
"56,281,537"
"56,381,537"
"56,481,537"
"56,582,536"
"56,683,536"
"56,783,536"
"56,884,536"
"56,984,536"
"57,084,536"
"57,185,536"
"57,286,536"
"57,387,536"
"57,487,536"
"57,587,536"
"57,688,536"
"57,788,536"
"57,889,536"
"57,990,536"
"58,090,535"
"58,190,535"
"58,291,536"
"58,391,535"
"58,491,535"
"58,593,535"
"58,693,535"
"58,793,535"
"58,894,536"
"58,994,535"
"59,095,535"
"59,196,535"
"59,296,535"
"59,397,535"
"59,497,535"
"59,597,535"
"59,698,534"
"59,798,535"
"59,899,534"
"60,000,534"
"60,100,535"
"60,200,535"
"60,301,534"
"60,401,534"
"60,503,534"
"60,603,534"
"60,703,534"
"60,804,534"
"60,904,534"
"61,004,534"
"61,106,534"
"61,206,535"
"61,306,534"
"61,407,534"
"61,507,534"
"61,607,533"
"61,708,533"
"61,809,534"
"61,910,533"
"62,010,533"
"62,110,534"
"62,211,533"
"62,311,534"
"62,412,534"
"62,513,533"
"62,613,534"
"62,713,533"
"62,814,533"
"62,914,533"
"63,014,533"
"63,116,533"
"63,216,533"
"63,316,533"
"63,417,533"
"63,517,533"
"63,618,533"
"63,719,533"
"63,819,532"
"63,920,533"
"64,020,532"
"64,120,532"
"64,221,532"
"64,322,532"
"64,422,532"
"64,523,532"
"64,623,532"
"64,723,532"
