Time,Reading
1,446
2,447
3,447
4,448
5,448
6,448
7,449
8,449
9,451
10,453
11,454
12,456
13,458
14,460
15,462
16,463
17,465
18,467
19,468
20,468
21,470
22,471
23,472
24,473
25,474
26,475
27,476
28,476
29,476
30,477
31,478
32,478
33,478
34,479
35,480
36,480
37,480
38,480
39,480
40,481
41,480
42,478
43,475
44,471
45,466
46,461
47,456
48,451
49,447
50,442
51,439
52,434
53,431
54,427
55,424
56,420
57,417
58,415
59,412
60,410
61,407
62,405
63,403
64,401
65,399
66,397
67,396
68,395
69,393
70,392
71,391
72,390
73,389
74,388
75,390
76,395
77,401
78,408
79,414
80,421
81,427
82,433
83,439
84,444
85,449
86,453
87,457
88,461
89,464
90,468
91,471
92,473
93,476
94,479
95,480
96,482
97,484
98,486
99,487
100,489
101,490
102,491
103,492
104,493
105,494
106,495
107,497
108,499
109,506
110,514
111,522
112,529
113,536
114,543
115,549
116,555
117,559
118,563
119,568
120,570
121,574
122,576
123,578
124,581
125,583
126,585
127,586
128,588
129,589
130,590
131,591
132,592
133,594
134,594
135,595
136,596
137,596
138,596
139,597
140,597
141,597
142,594
143,588
144,581
145,572
146,562
147,553
148,544
149,534
150,525
151,516
152,507
153,498
154,490
155,482
156,475
157,469
158,462
159,455
160,449
161,444
162,438
163,432
164,428
165,423
166,419
167,415
168,411
169,408
170,404
171,401
172,398
173,396
174,392
175,387
176,380
177,371
178,362
179,353
180,344
181,335
182,327
183,319
184,312
185,305
186,299
187,292
188,286
189,282
190,276
191,272
192,268
193,264
194,261
195,257
196,254
197,251
198,248
199,245
200,243
201,241
202,239
203,238
204,235
205,234
206,232
207,231
208,230
209,229
210,228
211,228
212,228
213,228
214,228
215,228
216,228
217,229
218,229
219,230
220,229
221,229
222,229
223,230
224,229
225,230
226,230
227,230
228,230
229,230
230,230
231,230
232,230
233,231
234,231
235,231
236,230
237,231
238,230
239,230
240,230
241,230
242,229
243,228
244,225
245,224
246,222
247,220
248,218
249,216
250,214
251,213
252,212
253,210
254,209
255,207
256,207
257,206
258,205
259,204
260,203
261,203
262,202
263,201
264,201
265,200
266,199
267,199
268,199
269,198
270,198
271,197
272,197
273,196
274,196
275,196
276,196
277,197
278,197
279,198
280,198
281,199
282,199
283,200
284,201
285,202
286,202
287,203
288,203
289,204
290,204
291,205
292,206
293,206
294,206
295,206
296,206
297,207
298,207
299,208
300,208
301,209
302,209
303,209
304,209
305,209
306,210
307,210
308,213
309,219
310,226
311,236
312,245
313,255
314,265
315,274
316,284
317,294
318,303
319,313
320,320
321,328
