Time,Brightness10,Brightness5,Brightness1
11,102,209,590
18,160,325,581
24,216,439,569
31,275,559,604
37,338,594,630
45,398,597,608
51,456,598,589
58,515,604,599
65,578,610,629
71,595,609,630
78,597,608,608
84,598,610,589
92,605,616,623
98,609,619,644
105,607,617,628
111,607,616,606
118,611,622,616
125,615,626,640
132,615,623,647
139,614,622,621
145,616,627,607
152,621,631,636
158,623,631,654
165,621,629,640
173,621,631,617
179,626,635,628
186,629,637,649
192,628,635,659
199,626,633,632
207,629,637,619
217,633,640,645
226,633,637,659
235,630,635,647
244,631,640,623
253,635,642,636
263,637,643,655
272,634,640,663
282,633,641,635
291,637,644,625
301,639,646,648
310,637,642,662
319,635,639,645
328,637,642,621
337,640,644,642
348,639,641,658
357,635,638,655
366,636,642,629
375,639,644,632
385,639,643,651
394,636,639,663
403,635,641,637
413,638,643,617
422,639,644,643
432,636,640,658
441,634,637,644
450,636,640,620
459,638,641,630
468,635,636,649
479,631,632,654
488,631,635,625
497,634,637,611
506,632,633,637
516,627,628,653
525,626,629,631
534,629,631,607
544,628,630,623
553,623,625,643
563,620,622,636
572,623,624,610
581,623,625,598
590,619,620,629
600,615,616,641
610,616,619,613
619,617,621,591
628,614,615,611
637,609,610,635
647,608,610,616
656,611,612,592
665,609,608,587
675,603,603,620
685,600,599,616
694,602,602,591
703,601,600,572
712,596,595,601
721,591,590,617
731,592,595,592
741,593,595,572
750,588,590,575
759,583,585,609
769,582,585,592
778,585,588,572
787,582,582,555
796,577,578,586
806,573,574,593
816,576,578,572
825,574,574,555
834,569,569,555
843,565,566,596
852,566,568,571
862,566,568,554
871,561,563,541
881,557,560,575
890,555,557,572
900,559,561,555
909,555,557,540
918,551,553,545
927,548,550,575
936,551,556,554
947,549,552,541
956,545,549,530
965,542,546,567
974,543,548,558
984,545,548,542
993,541,545,531
1002,538,543,538
1013,537,541,564
1024,540,547,546
1034,537,543,533
1044,534,541,524
1054,532,539,566
1064,537,546,552
1076,536,543,538
1086,533,541,527
1096,532,540,548
1106,534,543,559
1117,537,543,544
1127,534,541,531
1137,533,540,525
1148,534,541,571
1159,538,546,553
1169,536,544,540
1179,534,543,529
1189,534,542,567
1200,539,551,563
1211,539,550,549
1221,538,549,538
1231,537,548,551
1242,543,556,579
1252,545,555,560
1262,544,554,548
1273,543,554,536
1284,547,560,587
1294,552,564,575
1304,551,563,560
1314,550,562,548
1325,553,566,577
1335,559,573,595
1346,559,572,576
1356,559,571,561
1367,560,571,563
1377,566,579,605
1387,568,578,593
1397,567,577,575
1409,567,576,561
1419,573,586,600
1429,577,588,611
1439,576,588,590
1449,575,587,574
1460,579,594,594
1470,586,600,625
1481,585,598,606
1491,584,596,588
1502,587,600,588
1512,594,606,623
1522,595,605,626
1532,594,604,604
1544,595,605,586
1554,602,611,619
1564,604,613,641
1574,603,612,620
1585,602,611,600
1595,607,618,612
1606,612,622,638
1616,611,620,639
1627,609,618,615
1637,613,623,603
1647,618,627,634
1657,618,627,652
1668,616,625,631
1679,618,627,611
1689,623,632,630
1699,625,635,650
1710,623,632,649
1720,623,631,624
1730,627,636,621
1741,631,639,646
1752,630,635,660
1762,627,632,638
1772,630,638,616
1782,634,641,640
1793,634,640,657
1803,631,637,655
1814,633,641,629
1824,636,644,629
1835,638,645,651
1845,635,641,664
1855,634,642,641
1865,638,645,618
1876,640,647,644
1887,638,643,660
1897,636,640,653
1907,638,643,626
1917,640,645,637
1928,640,642,655
1939,636,638,665
1949,637,643,635
1959,639,645,625
1970,640,643,647
1980,636,639,662
1990,635,641,644
2000,638,643,619
2012,640,644,637
2022,636,639,654
2032,634,638,652
2042,636,641,626
2053,638,642,624
2063,635,637,645
2074,631,632,658
2084,631,635,631
2095,633,637,608
2105,632,632,633
2115,627,628,650
2125,626,631,636
2136,628,633,613
2147,628,630,616
2157,623,625,639
2167,620,624,641
2178,623,625,615
2188,623,625,594
2198,619,620,624
2209,615,615,643
2220,616,618,618
2230,617,620,596
2240,614,614,604
2250,609,610,630
2260,608,612,621
2272,611,614,596
2282,609,608,577
2292,603,603,615
2302,600,602,622
2313,603,605,596
2323,602,600,576
2333,596,595,593
2344,591,591,622
2355,592,594,597
2365,593,592,577
2375,588,587,562
2385,583,583,603
2396,582,586,599
2407,585,587,575
2417,581,582,558
2427,577,578,577
2438,573,576,602
2448,576,578,577
2458,574,573,558
2468,569,569,544
2480,565,565,590
2490,566,570,577
2500,566,567,558
2510,561,562,543
2521,557,559,564
2531,555,561,579
2542,558,561,559
2552,554,556,543
2563,550,553,532
2573,547,550,582
2583,551,555,559
2593,549,550,544
2605,545,547,531
2615,542,545,560
2625,543,552,560
2635,544,547,545
2646,540,544,533
2656,537,542,530
2666,537,544,566
2677,540,544,548
2688,537,542,535
2698,534,540,525
2708,532,539,561
2718,536,545,554
2728,535,542,540
2740,533,540,529
2750,531,539,537
2760,534,546,561
2770,536,543,546
2781,534,542,534
2791,532,540,525
2801,534,545,571
2812,538,546,555
2823,536,544,542
2833,534,543,531
2843,535,546,558
2853,540,550,567
2864,540,549,550
2875,539,548,538
2885,538,548,541
2895,543,556,584
2906,545,555,563
2916,544,554,549
2926,543,553,539
2937,548,563,581
2948,552,562,579
2958,551,561,562
2968,550,561,549
2978,553,568,571
2989,560,572,597
2999,559,571,578
3010,559,570,562
3020,561,574,557
3031,568,581,601
3041,569,580,597
3051,568,579,577
3061,568,580,563
3073,575,587,595
3083,578,587,616
3093,577,585,594
3103,576,585,577
3113,581,594,588
3124,586,597,623
3135,585,595,611
3145,584,594,592
3155,587,602,580
3166,595,607,618
3176,595,605,631
3186,594,604,608
3196,596,609,589
3208,603,614,612
3218,605,613,637
3228,603,612,626
3238,604,613,606
3249,609,619,603
3259,613,621,634
3270,611,619,647
3280,610,618,623
3291,614,624,602
3301,619,628,628
3311,618,625,648
3321,616,623,638
3332,619,629,617
3343,624,633,623
3353,625,632,646
3363,622,630,657
3374,623,633,631
3384,628,637,613
3394,631,639,642
3405,629,637,658
3416,628,636,645
3426,632,640,622
3436,635,643,635
3446,634,639,654
3457,631,636,661
3467,634,641,634
3478,637,643,626
3488,637,642,649
3499,634,639,663
3509,635,642,648
3519,638,645,624
3529,640,646,641
3540,637,643,658
3551,636,642,659
3561,640,645,632
3571,642,646,632
3581,640,642,653
3592,637,639,666
3603,639,642,642
3613,641,645,619
3623,640,642,644
3634,636,638,660
3644,636,641,651
3654,639,643,624
3664,639,643,634
3676,634,638,652
3686,633,638,658
3696,637,640,629
3706,637,642,618
3717,634,637,642
3727,631,633,657
3738,633,636,636
3748,635,637,612
3759,632,632,630
3769,627,627,648
3779,628,630,643
