Time,Brightness
11,88
18,140
24,192
31,249
37,304
45,356
51,411
58,468
65,522
71,538
78,542
84,546
92,548
98,545
105,549
111,551
118,549
124,549
132,551
139,551
145,551
152,552
158,552
165,553
173,552
179,552
186,554
192,554
199,554
205,554
216,554
225,553
234,554
243,557
252,552
262,555
271,556
281,552
290,555
300,556
309,558
318,555
327,557
336,555
347,557
356,558
365,556
374,557
384,556
393,557
402,557
412,556
421,557
431,555
440,556
449,555
458,556
467,557
478,554
487,555
496,554
505,554
515,556
524,553
533,554
543,552
552,552
562,553
571,551
580,552
589,550
599,551
609,549
618,550
627,551
636,549
646,549
655,547
664,548
674,550
684,547
693,548
702,546
711,547
720,547
730,546
740,548
749,545
758,546
768,545
777,546
786,548
795,545
804,546
815,545
824,546
833,547
842,545
851,546
861,544
870,545
880,546
889,546
899,547
908,545
917,546
926,545
935,547
946,548
955,546
964,547
973,546
983,547
992,549
1001,547
1012,547
1022,545
1033,550
1043,552
1053,556
1063,557
1075,556
1085,557
1095,551
1105,552
1116,552
1126,552
1136,552
1147,552
1158,553
1168,553
1178,554
1188,554
1199,555
1210,555
1220,555
1230,555
1241,555
1251,555
1261,555
1272,556
1283,556
1293,557
1303,557
1313,557
1324,557
1334,556
1345,556
1355,556
1366,556
1376,556
1386,557
1396,557
1408,557
1418,557
1428,557
1438,556
1448,556
1459,555
1469,555
1480,555
1490,555
1501,555
1511,555
1521,555
1531,554
1543,553
1553,553
1563,552
1573,552
1584,552
1594,551
1605,551
1615,551
1626,551
1636,551
1646,550
1656,549
1667,548
1678,547
1688,547
1698,547
1709,547
1719,547
1729,547
1740,547
1751,546
1761,545
1771,545
1781,544
1792,544
1802,544
1813,544
1823,545
1833,545
1844,545
1854,544
1864,544
1875,543
1886,543
1896,543
1906,544
1916,544
1927,544
1938,544
1948,545
1958,544
1969,544
1979,544
1989,543
1999,544
2011,545
2021,545
2031,546
2041,546
2052,547
2062,547
2073,547
2083,547
2094,547
2104,548
2114,548
2124,549
2135,549
2146,550
2156,551
2166,551
2177,551
2187,551
2197,551
2208,551
2219,552
2229,553
2239,554
2249,554
2259,555
2271,555
2281,555
2291,555
2301,555
2312,555
2322,555
2332,556
2343,556
2354,556
2364,556
2374,557
2384,556
2395,556
2406,555
2416,555
2426,556
2437,556
2447,556
2457,556
2467,557
2479,557
2489,556
2499,556
2509,556
2520,555
2530,555
2541,555
2551,555
2562,555
2572,555
2582,555
2592,554
2604,553
2614,553
2624,552
2634,552
2644,552
2655,552
2665,552
2676,552
2686,551
2697,551
2707,550
2717,550
2727,549
2739,549
2749,549
2759,548
2769,548
2780,548
2790,548
2800,548
2811,547
2822,547
2832,546
2842,546
2852,546
2863,546
2874,546
2884,546
2894,546
2905,546
2915,546
2925,545
2936,545
2947,545
2957,545
2967,545
2977,546
2988,546
2998,546
3009,547
3019,546
3030,546
3040,546
3050,546
3060,546
3072,547
3082,548
3092,548
3102,549
3112,549
3123,549
3133,549
3144,549
3154,549
3165,550
3175,550
3185,551
3195,551
3207,552
3217,553
3227,553
3237,553
3248,553
3258,553
3269,553
3279,554
3290,555
3300,555
3310,555
3320,556
3331,556
3342,556
3352,556
3362,556
3373,556
3383,556
3393,557
3404,557
3415,557
3425,558
3435,558
3445,557
3456,557
3466,557
3477,557
3487,557
3497,557
3508,557
3518,557
3528,557
3539,557
3550,557
3560,556
3570,555
3580,555
3591,555
3602,555
3612,555
3622,555
3633,555
3643,555
3653,554
3663,553
3675,553
3685,552
3695,552
3705,552
3716,551
3726,551
3737,551
3747,551
3758,550
3768,549
3778,549
3788,548
3799,548
3810,547
3820,547
3830,547
3841,547
3851,547
3861,547
3872,546
3883,545
3893,545
3903,544
3913,545
3923,545
3935,545
3945,545
3955,545
3965,545
3976,545
3986,544
3996,544
4007,544
4018,544
4028,544
4038,544
4048,545
4059,545
4070,545
4080,545
4090,544
4101,544
4111,544
4121,545
4131,545
4143,546
4153,547
4163,547
4173,548
4184,548
4194,548
4205,548
4215,548
4226,549
4236,549
4246,550
4256,551
4268,551
4278,552
4288,552
4298,552
4308,552
4319,552
4329,552
4340,553
4350,553
4361,554
4371,555
4381,555
4391,555
4403,555
4413,555
4423,555
4433,555
4444,555
4454,556
4464,556
4475,556
4486,556
4496,557
4506,556
4516,556
4527,555
4538,555
4548,555
4558,556
4569,556
4579,556
4589,556
4600,556
4611,556
4621,555
4631,555
4641,554
4652,555
4662,554
4673,554
4683,554
4694,554
4704,554
4714,553
4724,553
4736,552
4746,551
4756,551
4766,551
4776,551
4787,550
4797,550
4808,550
4818,550
4829,549
4839,548
4849,548
4859,547
4871,547
4881,547
4891,547
4901,547
4912,547
4922,547
4933,546
4943,546
4954,545
4964,545
4974,545
4984,545
4995,545
5006,545
5016,545
5026,545
5037,545
5047,545
5057,544
5068,544
5079,544
5089,545
5099,545
5109,545
5120,546
5130,546
5141,546
5151,546
5161,546
5172,546
5182,547
5192,547
5203,548
5214,548
5224,549
5234,549
5244,550
5255,550
5266,550
5276,550
5286,550
5297,551
5307,552
5317,552
5327,553
5339,553
5349,554
5359,554
5369,554
5380,554
5390,554
5401,555
5411,556
5422,556
5432,557
5442,557
5452,557
5463,557
5474,557
5484,557
5494,557
5505,557
5515,557
5525,557
5536,557
5547,557
5557,557
5567,557
5577,556
5587,556
5599,556
5609,556
5619,556
5629,557
5640,557
5650,557
5660,557
5671,556
5682,555
5692,555
5702,554
5712,554
5723,554
5734,554
5744,554
5754,554
5765,554
5775,553
5785,552
5795,552
5807,551
5817,551
5827,551
5837,551
5848,551
5858,550
5869,550
5879,550
5890,549
5900,548
5910,548
5920,547
5932,547
5942,547
5952,547
5962,547
5972,547
5983,547
5993,546
6004,545
6014,545
6025,545
6035,545
6045,546
6055,546
6067,546
6077,546
6087,547
6097,546
6108,546
6118,546
6128,545
6139,546
6150,546
6160,547
6170,547
6180,547
6191,548
6202,547
6212,547
6222,547
6233,547
6243,548
6253,549
6264,549
6275,550
6285,550
6295,551
6305,551
6316,551
6326,552
6337,552
6347,552
6358,553
6368,554
6378,555
6388,556
6400,557
6410,558
6420,558
6430,559
6440,559
6451,560
6461,561
6472,562
6482,563
6493,565
6503,566
6513,567
6523,568
6535,569
6545,570
6555,571
6565,572
6576,574
6586,575
6597,577
6607,578
6618,580
6628,581
6638,582
6648,583
6659,584
6670,585
6680,587
6690,588
6701,589
6711,590
6721,591
6732,591
6743,591
6753,592
6763,592
6773,593
6784,593
6794,594
6805,594
6815,595
6825,595
6836,595
6846,595
6856,595
6867,595
6878,595
6888,595
6898,595
6908,595
6919,596
6930,596
6940,596
6950,595
6961,595
6971,594
6981,594
6991,594
7003,594
7013,594
7023,594
7033,594
7044,594
7054,594
7065,593
7075,593
7086,593
7096,593
7106,593
7116,593
7127,594
7138,594
7148,594
7158,593
7169,592
7179,592
7189,591
7200,591
7211,591
7221,591
7231,591
7241,591
7251,592
7263,591
7273,591
7283,591
7293,591
