Time,Brightness
11,59
18,91
24,123
31,156
37,190
45,222
51,256
58,291
64,324
71,330
78,332
84,335
92,336
98,337
105,339
111,340
118,341
124,341
132,343
139,343
145,344
152,345
158,346
165,347
172,348
179,348
186,349
192,350
199,350
205,351
215,351
224,351
233,352
242,352
251,352
261,353
270,354
280,354
289,353
299,355
308,355
317,356
326,355
335,356
346,355
355,355
364,355
373,354
382,355
392,354
401,353
411,353
420,352
430,352
439,350
448,350
457,349
466,347
477,347
486,345
495,345
504,343
514,342
523,341
532,339
542,338
551,336
561,336
570,334
579,332
588,331
598,329
608,328
617,327
626,326
635,325
645,323
654,322
663,320
673,319
683,318
692,316
701,315
710,314
719,313
729,312
738,311
748,310
757,309
766,308
776,308
785,307
794,307
803,306
814,306
823,306
832,306
841,306
850,305
860,305
869,305
879,305
888,306
898,306
907,307
916,307
925,307
934,309
945,309
954,311
963,311
972,312
982,313
991,315
1000,316
1011,317
1021,319
1032,319
1042,320
1052,321
1062,322
1074,323
1084,325
1094,328
1104,329
1115,331
1125,333
1135,334
1146,336
1157,337
1167,338
1177,340
1187,341
1198,342
1209,344
1219,345
1229,347
1240,348
1250,349
1260,350
1270,351
1282,352
1292,352
1302,353
1312,353
1323,354
1333,354
1344,355
1354,355
1364,355
1375,355
1385,355
1395,355
1406,354
1417,354
1427,354
1437,354
1447,353
1458,352
1468,352
1479,351
1489,350
1500,349
1510,348
1520,347
1530,346
1542,345
1552,344
1562,343
1572,341
1583,340
1593,338
1603,337
1614,335
1625,334
1635,332
1645,330
1655,329
1666,327
1677,326
1687,325
1697,323
1708,321
1718,320
1728,318
1739,317
1750,316
1760,315
1770,313
1780,312
1790,311
1801,311
1812,310
1822,309
1832,308
1843,307
1853,307
1863,306
1874,306
1885,306
1895,306
1905,306
1915,306
1926,306
1936,306
1947,307
1957,307
1968,308
1978,308
1988,309
1998,310
2010,311
2020,312
2030,313
2040,314
2051,316
2061,317
2072,319
2082,320
2093,322
2103,323
2113,324
2123,326
2134,327
2145,329
2155,330
2165,332
2176,334
2186,335
2196,337
2207,338
2217,339
2228,341
2238,342
2248,343
2258,344
2269,346
2280,347
2290,348
2300,349
2311,350
2321,351
2331,352
2342,353
2353,353
2363,354
2373,354
2383,354
2394,355
2405,355
2415,355
2425,355
2436,355
2446,355
2456,355
2466,355
2478,354
2488,354
2498,353
2508,353
2519,352
2529,352
2540,351
2550,350
2561,349
2571,348
2581,347
2591,345
2601,344
2613,343
2623,342
2633,340
2643,339
2654,337
2664,335
2675,334
2685,332
2696,331
2706,329
2716,328
2726,326
2738,325
2748,324
2758,322
2768,321
2779,319
2789,318
2799,316
2810,315
2821,314
2831,313
2841,312
2851,311
2862,310
2873,309
2883,308
2893,308
2904,307
2914,307
2924,307
2934,307
2946,307
2956,307
2966,307
2976,307
2987,307
2997,308
3008,308
3018,309
3028,310
3039,311
3049,312
3059,313
3070,313
3081,315
3091,316
3101,317
3111,318
3122,320
3132,322
