Time,Brightness,Time,Brightness,Time,Brightness
11,359,11,96,11,59
18,359,18,150,18,91
24,362,24,203,24,123
31,374,31,260,31,156
37,368,37,271,37,190
45,363,45,273,45,222
51,371,51,276,51,256
58,379,58,281,58,291
64,370,64,280,64,324
71,366,71,280,71,330
78,378,78,284,78,332
84,379,84,286,84,335
92,371,92,284,92,336
98,374,98,286,98,337
105,383,105,290,105,339
111,377,111,289,111,340
118,371,118,288,118,341
124,382,124,291,124,341
132,384,132,293,132,343
138,374,139,290,139,343
145,380,145,292,145,344
152,389,152,295,152,345
158,380,158,294,158,346
165,378,165,294,165,347
172,387,172,298,172,348
179,384,179,298,179,348
185,375,186,296,186,349
192,387,192,299,192,350
199,391,199,300,199,350
207,380,205,298,205,351
217,392,216,300,215,351
226,381,225,302,224,351
236,390,234,300,233,352
245,386,243,301,242,352
254,383,252,301,251,352
264,391,262,302,261,353
273,379,271,302,270,354
282,395,281,303,280,354
291,386,290,303,289,353
301,386,300,303,299,355
311,390,309,303,308,355
320,380,318,303,317,356
329,393,327,303,326,355
338,383,336,302,335,356
348,387,347,303,346,355
357,388,356,302,355,355
366,381,365,301,364,355
376,391,374,301,373,354
386,378,384,300,382,355
395,386,393,300,392,354
404,382,402,299,401,353
413,378,412,297,411,353
422,386,421,297,420,352
432,373,431,296,430,352
442,386,440,296,439,350
451,378,449,295,448,350
460,377,458,294,457,349
470,381,467,293,466,347
479,370,478,291,477,347
488,382,487,290,486,345
497,369,496,289,495,345
507,374,505,288,504,343
517,375,515,287,514,342
526,367,524,285,523,341
535,379,533,284,532,339
544,360,543,282,542,338
553,369,552,281,551,336
563,367,562,279,561,336
573,362,571,278,570,334
582,371,580,277,579,332
591,358,589,275,588,331
601,365,599,274,598,329
610,357,609,272,608,328
619,358,618,271,617,327
628,364,627,270,626,326
638,353,636,267,635,325
648,361,646,266,645,323
657,350,655,264,654,322
666,356,664,264,663,320
675,357,674,263,673,319
685,350,684,262,683,318
694,357,693,261,692,316
704,347,702,259,701,315
713,351,711,258,710,314
722,349,720,257,719,313
732,348,730,257,729,312
741,355,739,256,738,311
750,345,749,255,748,310
759,350,758,254,757,309
770,342,768,254,766,308
779,346,777,253,776,308
788,353,786,253,785,307
797,344,795,253,794,307
806,351,804,253,803,306
816,343,815,252,814,306
825,348,824,252,823,306
835,350,833,253,832,306
844,345,842,253,841,306
854,352,851,253,850,305
863,343,861,252,860,305
872,349,870,253,869,305
881,348,880,254,879,305
890,348,889,255,888,306
901,357,899,255,898,306
910,346,908,255,907,307
919,354,917,256,916,307
928,348,926,257,925,307
937,352,935,258,934,309
947,360,946,259,945,309
956,351,955,260,954,311
965,361,964,261,963,311
975,350,973,262,972,312
985,357,983,263,982,313
994,361,992,265,991,315
1003,355,1001,266,1000,316
1013,355,1012,266,1011,317
1024,355,1022,267,1021,319
1035,360,1033,271,1032,319
1045,365,1043,273,1042,320
1055,370,1053,277,1052,321
1065,375,1063,280,1062,322
1076,372,1075,281,1074,323
1086,370,1085,281,1084,325
1096,369,1095,279,1094,328
1107,368,1105,277,1104,329
1118,366,1116,277,1115,331
1128,366,1126,279,1125,333
1138,371,1136,282,1135,334
1148,377,1147,287,1146,336
1159,380,1158,292,1157,337
1170,384,1168,295,1167,338
1180,386,1178,296,1177,340
1190,383,1188,296,1187,341
1201,380,1199,294,1198,342
1211,377,1210,292,1209,344
1221,374,1220,291,1219,345
1231,376,1230,292,1229,347
1243,380,1241,295,1240,348
1253,384,1251,298,1250,349
1263,386,1261,302,1260,350
1273,390,1271,305,1270,351
1284,392,1283,306,1282,352
1294,389,1293,305,1292,352
1305,385,1303,303,1302,353
1315,382,1313,300,1312,353
1326,378,1324,298,1323,354
1336,378,1334,298,1333,354
1346,382,1345,299,1344,355
1356,385,1355,302,1354,355
1368,387,1366,305,1364,355
1378,388,1376,307,1375,355
1388,391,1386,307,1385,355
1398,389,1396,306,1395,355
1409,385,1408,303,1406,354
1419,380,1418,299,1417,354
1429,376,1428,296,1427,354
1440,373,1438,295,1437,354
1451,376,1448,295,1447,353
1461,379,1459,296,1458,352
1471,381,1469,299,1468,352
1481,383,1480,301,1479,351
1491,385,1490,301,1489,350
1503,381,1501,299,1500,349
1513,376,1511,295,1510,348
1523,372,1521,291,1520,347
1533,369,1531,286,1530,346
1544,365,1543,284,1542,345
1554,363,1553,283,1552,344
1564,368,1563,284,1562,343
1575,370,1573,286,1572,341
1586,372,1584,287,1583,340
1596,374,1594,286,1593,338
1606,369,1604,284,1603,337
1616,364,1615,281,1614,335
1627,360,1626,276,1625,334
1638,358,1636,272,1635,332
1648,355,1646,269,1645,330
1658,353,1656,267,1655,329
1669,352,1667,268,1666,327
1679,357,1678,269,1677,326
1689,361,1688,270,1687,325
1700,361,1698,270,1697,323
1711,356,1709,268,1708,321
1721,353,1719,265,1718,320
1731,351,1729,262,1728,318
1741,348,1740,258,1739,317
1752,346,1751,255,1750,316
1762,344,1761,254,1760,315
1773,344,1771,255,1770,313
