Time10,Brightness10
11,32
18,32
24,32
31,33
37,33
45,33
51,33
58,34
64,34
71,33
77,33
84,35
91,34
98,33
104,34
111,35
117,34
124,33
131,35
138,35
144,34
151,34
157,35
164,35
171,34
178,35
185,36
191,35
198,35
204,36
211,35
218,34
225,35
231,36
238,35
244,35
251,36
258,36
265,35
272,35
278,36
285,35
291,35
299,36
305,36
312,35
318,35
326,35
334,36
344,36
352,36
360,36
368,36
376,35
385,35
393,35
401,34
410,34
418,34
427,34
435,35
443,35
451,35
459,35
467,35
477,35
485,34
493,34
501,33
509,33
518,33
526,33
534,33
543,33
551,34
560,34
568,34
576,33
584,33
592,33
601,32
610,32
618,32
626,31
634,31
643,32
651,32
659,32
667,32
676,32
685,32
693,31
701,31
709,31
717,31
726,31
734,31
743,30
751,31
759,31
768,32
776,31
784,31
792,31
800,31
809,31
818,31
826,31
834,30
842,30
850,30
859,31
867,31
876,32
884,32
892,32
901,31
909,31
917,31
925,31
933,31
943,31
951,31
959,31
967,32
975,33
984,33
992,33
1000,33
1010,32
1019,33
1029,33
1038,32
1047,34
1056,32
1065,33
1076,34
1085,33
1094,35
1103,33
1113,34
1122,34
1131,34
1141,35
1150,34
1160,35
1169,34
1178,35
1187,35
1197,34
1207,36
1216,35
1225,35
1234,35
1244,35
1253,36
1262,35
1272,36
1282,36
1291,35
1300,36
1309,35
1318,37
1328,35
1337,36
1347,36
1356,35
1366,36
1375,35
1384,36
1393,36
1402,35
1413,36
1422,34
1431,36
1440,35
1449,35
1459,36
1468,34
1478,36
1487,34
1497,35
1506,35
1515,34
1524,35
1533,33
1544,34
1553,34
1562,33
1571,35
1581,33
1590,34
1599,33
1609,33
1618,34
1628,32
1637,33
1646,32
1655,33
1665,33
1675,32
1684,33
1693,31
1702,32
1712,32
1721,31
1730,32
1740,31
1750,32
1759,31
1768,31
1777,32
1786,31
1796,31
1806,30
1815,31
1824,31
1833,31
1843,31
1852,30
1861,31
1871,31
1881,31
1890,32
1899,31
1908,31
1917,31
1927,31
1936,32
1946,31
1955,32
1965,31
1974,32
1983,32
1992,31
2001,32
2012,31
2021,32
2030,32
2039,32
2049,33
2058,32
2067,33
2077,33
2086,33
2096,34
2105,33
2114,34
2123,33
2132,34
2143,34
2152,33
2161,35
2170,33
2180,34
2189,35
2198,34
2208,35
2217,34
2227,35
2236,35
2245,35
2254,36
2264,34
2274,36
2283,35
2292,35
2301,36
2311,35
2320,36
2329,35
2339,36
2349,36
2358,35
2367,36
2376,35
2385,36
2395,36
2405,35
2414,36
2423,35
2433,36
2442,35
2451,35
2460,36
2470,35
2480,36
2489,35
2498,35
2507,35
2516,34
2526,36
2535,34
2545,35
2554,34
2564,34
2573,35
2582,33
2591,35
2600,33
2611,34
2620,34
2629,33
2638,34
2648,32
2657,33
2666,33
2676,32
2685,33
2695,32
2704,33
2713,32
2722,32
2732,33
2742,31
2751,32
2760,31
2769,31
2779,32
2788,31
2797,32
2807,30
2817,31
2826,31
2835,31
2844,31
2853,30
2863,31
2873,30
2882,30
2891,31
2900,30
2910,31
2919,30
2928,30
2938,31
2948,30
2957,31
2966,30
2975,31
2984,31
2994,31
3004,32
3013,30
3022,31
3032,31
3041,31
3050,32
3059,31
3069,32
3079,31
3088,32
3097,32
3106,31
3116,33
3125,31
3135,32
3144,33
3153,32
3163,34
3172,32
3181,33
3190,33
3200,33
3210,34
3219,33
3228,34
3237,33
3247,34
3256,34
3265,33
3275,35
3284,34
3294,35
3303,35
3312,34
3321,35
3331,34
3341,35
3350,35
3359,35
3368,35
3378,34
3387,36
3396,35
3406,35
3416,35
3425,34
3434,36
3443,35
3452,35
3462,35
3472,34
3481,36
3490,34
3500,36
3509,35
3518,35
3527,36
3537,34
3547,36
3556,35
3565,35
3574,36
3584,35
3593,36
3603,34
3612,35
3621,35
3631,34
3640,36
3649,34
3658,35
3668,34
3678,34
3687,35
3696,34
3705,35
3715,34
3724,34
3733,34
3743,33
3752,34
3762,33
3771,34
3780,33
3789,33
3799,34
3809,33
3818,33
3827,33
3836,33
3846,34
